Sample Name,S Parameter,S Uncertainty,Left W Parameter,Left W Uncertainty,Right W Parameter,Right W Uncertainty
Y1Y2Heat_20260505_170510.csv,0.558998286452366,0.00102094000966912,0,0,0,0
Y1Y2Heat_20260505_173941.csv,0.559830819924422,0.00102292544431103,0,0,0,0
Y1Y2Heat_20260505_181408.csv,0.560064090502983,0.00102328154438489,0,0,0,0
Y1Y2HEAT_20260505_194030.csv,0.559662155905206,0.0010220722092854,0,0,0,0
Y1Y2HEAT_20260505_201453.csv,0.559237621830446,0.00102129355955173,0,0,0,0
Y1Y2HEAT_20260505_204919.csv,0.560505667603109,0.0010239914511159,0,0,0,0
Y1Y2HEAT_20260505_212346.csv,0.559593073268519,0.00102215534454914,0,0,0,0
Y1Y2HEAT_20260505_215929.csv,0.559311755793079,0.00102165277532618,0,0,0,0
Y1Y2HEAT_20260505_223348.csv,0.560465219989445,0.00102417056290788,0,0,0,0
Y1Y2HEAT_20260505_230747.csv,0.566799200442619,0.00103725832962598,0,0,0,0
Y1Y2HEAT_20260505_234129.csv,0.570180530807755,0.00104488872405535,0,0,0,0
Y1Y2HEAT_20260506_001457.csv,0.574475572627546,0.00105371127321721,0,0,0,0
Y1Y2HEAT_20260506_004817.csv,0.577218614411772,0.00105980060012202,0,0,0,0
Y1Y2HEAT_20260506_012126.csv,0.580949307205465,0.00106740177036247,0,0,0,0
Y1Y2HEAT_20260506_015434.csv,0.580694083572293,0.00106723097950481,0,0,0,0
Y1Y2HEAT_20260506_022731.csv,0.585176293514313,0.00107629999561735,0,0,0,0
Y1Y2HEAT_20260506_030023.csv,0.585276773247228,0.00107675994395594,0,0,0,0
Y1Y2HEAT_20260506_033314.csv,0.585768822658958,0.00107755117481395,0,0,0,0
Y1Y2HEAT_20260506_040606.csv,0.586453579540614,0.00107906566468478,0,0,0,0
Y1Y2HEAT_20260506_041141.csv,0.586751979493277,0.00272269179855439,0,0,0,0
Y1Y2HEAT_20260506_044427.csv,0.585750107107625,0.00107766167212981,0,0,0,0
Y1Y2HEAT_20260506_051724.csv,0.584992079235912,0.00107600745144426,0,0,0,0
Y1Y2HEAT_20260506_054108.csv,0.585806775359711,0.00127381599380526,0,0,0,0
Y1Y2HEAT_20260506_054608.csv,0.58591358653045,0.00284966579336414,0,0,0,0
Y1Y2HEAT_20260506_061904.csv,0.583997626377802,0.00107415978374986,0,0,0,0
Y1Y2HEAT_20260506_065202.csv,0.585090080812767,0.001076188441994,0,0,0,0
Y1Y2HEAT_20260506_072501.csv,0.584946782000494,0.00107609921015947,0,0,0,0
