Sample Name,S Parameter,S Uncertainty,Left W Parameter,Left W Uncertainty,Right W Parameter,Right W Uncertainty
ANA_20260512_160544.csv,0.494439279587784,0.000882774700204123,0,0,0,0
ANA_20260514_170729.csv,0.49479622492606,0.000883177597090876,0,0,0,0
T1T2_VacHeat_20260512_171241.csv,0.559083608324816,0.00102199876722326,0,0,0,0
T1T2_VacHeat_20260512_174735.csv,0.558816620357904,0.00102105832998002,0,0,0,0
T1T2_VacHeat_20260512_182234.csv,0.558006523230751,0.00101926756149789,0,0,0,0
T1T2_VacHeat_20260512_185722.csv,0.559869789901082,0.00102357709156539,0,0,0,0
T1T2_VacHeat_20260512_193216.csv,0.558203899736595,0.00101969631054422,0,0,0,0
T1T2_VacHeat_20260512_200709.csv,0.55699435336082,0.00101714472654469,0,0,0,0
T1T2_VacHeat_20260512_204127.csv,0.564387003965531,0.00103254811761711,0,0,0,0
T1T2_VacHeat_20260512_210524.csv,0.57850145919885,0.00126196829763365,0,0,0,0
T1T2_VacHeat_20260512_211059.csv,0.582365389838384,0.00270482911879299,0,0,0,0
T1T2_VacHeat_20260512_214437.csv,0.581712450607279,0.00106965667484572,0,0,0,0
T1T2_VacHeat_20260512_221840.csv,0.577435924440676,0.00106057057040718,0,0,0,0
T1T2_VacHeat_20260512_225245.csv,0.577341451061646,0.00106040417106487,0,0,0,0
T1T2_VacHeat_20260512_232647.csv,0.577485582207003,0.00106069344282975,0,0,0,0
T1T2_VacHeat_20260513_000047.csv,0.577908009372349,0.00106136742894946,0,0,0,0
T1T2_VacHeat_20260513_003443.csv,0.577723623379061,0.00106132500538986,0,0,0,0
T1T2_VacHeat_20260513_010839.csv,0.57710986803615,0.00105994524716438,0,0,0,0
T1T2_VacHeat_20260513_014237.csv,0.578076982511977,0.0010618383068732,0,0,0,0
T1T2_VacHeat_20260513_021628.csv,0.577634652670751,0.00106121205883069,0,0,0,0
T1T2_VacHeat_20260513_025025.csv,0.577510749283401,0.0010607431398337,0,0,0,0
T1T2_VacHeat_20260513_032415.csv,0.578513647581129,0.00106308885236888,0,0,0,0
T1T2_VacHeat_20260513_035811.csv,0.577698397633613,0.00106134703367263,0,0,0,0
T1T2_VacHeat_20260513_043204.csv,0.578069853652522,0.00106187968020757,0,0,0,0
T1T2_VacHeat_20260513_050559.csv,0.577199947428005,0.00106038922332045,0,0,0,0
T1T2_VacHeat_20260513_053956.csv,0.578024633338565,0.00106175174060733,0,0,0,0
T1T2_VacHeat_20260513_061350.csv,0.577854417193749,0.00106153393905366,0,0,0,0
T1T2_VacHeat_20260513_064739.csv,0.578460674197645,0.00106261283812313,0,0,0,0
T1T2_VacHeat_20260513_072133.csv,0.577901171666223,0.0010614372534922,0,0,0,0
T1T2_VacHeat_20260513_075523.csv,0.578647018928988,0.00106308054443129,0,0,0,0
T1T2_VacHeat_20260513_082916.csv,0.57819152835219,0.00106224682525496,0,0,0,0
T1T2_VacHeat_20260513_090304.csv,0.577948591322393,0.00106195753415821,0,0,0,0
T1T2_VacHeat_20260513_093657.csv,0.577196293293566,0.00106014628660668,0,0,0,0
T1T2_VacHeat_20260513_101053.csv,0.57769953197012,0.00106132405153745,0,0,0,0
T1T2_VacHeat_20260513_104449.csv,0.576667256665748,0.00105901462528366,0,0,0,0
T1T2_VacHeat_20260513_111844.csv,0.576137947212589,0.00105813792806952,0,0,0,0
T1T2_VacHeat_20260513_115244.csv,0.576368979466396,0.0010583255134806,0,0,0,0
T1T2_VacHeat_20260513_122636.csv,0.576608929703358,0.00105918812973125,0,0,0,0
T1T2_VacHeat_20260513_130029.csv,0.57681308840985,0.00105953898503485,0,0,0,0
T1T2_VacHeat_20260513_133430.csv,0.576237778215124,0.00105824421928358,0,0,0,0
T1T2_VacHeat_20260513_140825.csv,0.577686661275941,0.00106125933093555,0,0,0,0
T1T2_VacHeat_20260513_144219.csv,0.577087883243731,0.00106011726666897,0,0,0,0
T1T2_VacHeat_20260513_151614.csv,0.577184251273636,0.00106039364664869,0,0,0,0
T1T2_VacHeat_20260513_155013.csv,0.575963358946866,0.0010578058172419,0,0,0,0
T1T2_VacHeat_20260513_162411.csv,0.575792824358993,0.00105767887663641,0,0,0,0
T1T2_VacHeat_20260513_165809.csv,0.57590823263345,0.00105719944222568,0,0,0,0
T1T2_VacHeat_20260513_172219.csv,0.577013592232329,0.00125883498784805,0,0,0,0
T1T2_VacHeat_20260513_175608.csv,0.576838566179511,0.00105952708280999,0,0,0,0
T1T2_VacHeat_20260513_183002.csv,0.576985016118592,0.0010601654777772,0,0,0,0
T1T2_VacHeat_20260513_190354.csv,0.577522251787379,0.00106109125674613,0,0,0,0
T1T2_VacHeat_20260513_193747.csv,0.576831705513168,0.00105942467942206,0,0,0,0
T1T2_VacHeat_20260513_194305.csv,0.577140628532065,0.00279910583034319,0,0,0,0
T1T2_VacHeat_20260513_201656.csv,0.576410120653851,0.00105863201763665,0,0,0,0
T1T2_VacHeat_20260513_205047.csv,0.577076061585844,0.00106011863860778,0,0,0,0
T1T2_VacHeat_20260513_212444.csv,0.577372151605073,0.00106043570411412,0,0,0,0
T1T2_VacHeat_20260513_215835.csv,0.57758952122412,0.0010610107800142,0,0,0,0
T1T2_VacHeat_20260513_223236.csv,0.576872271149991,0.00105954431478929,0,0,0,0
