Sample Name,S Parameter,S Uncertainty,Left W Parameter,Left W Uncertainty,Right W Parameter,Right W Uncertainty,
ANA_20260515_165203.csv,0.49661047161629296,0.0008867126704595292,0,0,0,0,
ANA_20260518_164224.csv,0.49648232424981914,0.000885770603424761,0,0,0,0,
ANA_20260518_165224.csv,0.4965733428671605,0.0008860752227998287,0,0,0,0,
zeolite_vacNoHeat_20260515_175012.csv,0.5614158091220816,0.001025280223310244,0,0,0,0,
zeolite_vacNoHeat_20260515_181237.csv,0.5614995912402377,0.0010250851119811672,0,0,0,0,
zeolite_vacNoHeat_20260515_183503.csv,0.5614406936725468,0.0010249853844752769,0,0,0,0,
zeolite_vacNoHeat_20260515_185727.csv,0.5608806860077516,0.0010240901928959833,0,0,0,0,
zeolite_vacNoHeat_20260515_191952.csv,0.5618919492030143,0.0010262005208311162,0,0,0,0,
zeolite_vacNoHeat_20260515_194216.csv,0.5604050357732218,0.0010229613752004054,0,0,0,0,
zeolite_vacNoHeat_20260515_200442.csv,0.5603099441493722,0.0010227745774537954,0,0,0,0,
zeolite_vacNoHeat_20260515_202713.csv,0.5579054249424917,0.0010177857700807641,0,0,0,0,
zeolite_vacNoHeat_20260515_204943.csv,0.5586061148691355,0.0010191295853133834,0,0,0,0,
zeolite_vacNoHeat_20260515_211206.csv,0.5595279544750005,0.0010213463887697519,0,0,0,0,
zeolite_vacNoHeat_20260515_213425.csv,0.5610357753750788,0.0010241721987612005,0,0,0,0,
zeolite_vacNoHeat_20260515_215641.csv,0.5614224767475717,0.0010250952875327291,0,0,0,0,
zeolite_vacNoHeat_20260515_221855.csv,0.5620115347030491,0.0010264787228856998,0,0,0,0,
zeolite_vacNoHeat_20260515_224110.csv,0.5629170311941412,0.0010281623198785852,0,0,0,0,
zeolite_vacNoHeat_20260515_230320.csv,0.5638919241206878,0.0010306097503887434,0,0,0,0,
zeolite_vacNoHeat_20260515_232530.csv,0.5629174772636172,0.0010283318632190604,0,0,0,0,
zeolite_vacNoHeat_20260515_234739.csv,0.5642017351409369,0.0010311024928183767,0,0,0,0,
zeolite_vacNoHeat_20260516_000949.csv,0.563952302998833,0.0010304109478113965,0,0,0,0,
zeolite_vacNoHeat_20260516_003159.csv,0.5650845064653797,0.0010330658587031408,0,0,0,0,
